-424,0 -69,0 -595,0 -27,0 -990,0 467,0 518,0 -798,0 -370,0 -252,0 -917,0 -252,0 -221,0 905,0 -742,0 809,0 -257,0 959,0 -759,0 -196,0 -220,0 930,0 979,0 -536,0 705,0 -809,0 -721,0 -298,0 -855,0 867,0 -637,0 -306,0 -990,0 -933,0 427,0 -337,0 144,0 -167,0 427,0 952,0 
-348,0 -69,0 -595,0 -27,0 284,0 467,0 518,0 398,0 -370,0 -799,0 -298,0 -252,0 -221,0 905,0 -742,0 809,0 427,0 -742,0 -759,0 -196,0 444,0 930,0 979,0 -521,9481275750709 705,0 -855,0 -721,0 -298,0 -855,0 -799,0 50,0 -306,0 -990,0 -933,0 427,0 -798,0 144,0 -167,0 427,0 952,0 
-348,0 -69,0 -595,0 -27,0 284,0 467,0 518,0 398,0 -370,0 -799,0 -298,0 -252,0 -221,0 905,0 -742,0 809,0 427,0 -742,0 -759,0 -196,0 444,0 930,0 979,0 -521,9481275750709 705,0 -855,0 -721,0 -298,0 -855,0 -799,0 50,0 -306,0 -990,0 -933,0 427,0 -798,0 144,0 -167,0 427,0 952,0 
-348,0 -69,0 -595,0 -27,0 284,0 467,0 518,0 398,0 -370,0 -799,0 -298,0 -252,0 -221,0 905,0 -742,0 809,0 427,0 -742,0 -759,0 -196,0 444,0 930,0 979,0 -521,9481275750709 705,0 -855,0 -721,0 -298,0 -855,0 -799,0 50,0 -306,0 -990,0 -933,0 427,0 -798,0 144,0 -167,0 427,0 952,0 
-348,0 -5,659878750759802 -595,0 -196,0 284,0 144,0 518,0 398,0 50,0 -227,4733722317451 -990,0 -252,0 -221,0 -637,0 -742,0 -536,0 -257,0 959,0 111,0 -196,0 -220,0 -27,0 979,0 -536,0 -257,0 -809,0 641,0 50,0 -897,0 -799,0 -718,0 -899,0 -990,0 -933,0 905,0 -778,0 630,0 -167,0 -536,0 459,0 
-348,0 -5,659878750759802 -595,0 -196,0 284,0 144,0 518,0 398,0 50,0 -227,4733722317451 -990,0 -252,0 -221,0 -637,0 -742,0 -536,0 -257,0 959,0 111,0 -196,0 -220,0 -27,0 979,0 -536,0 -257,0 -809,0 641,0 50,0 -897,0 -799,0 -718,0 -899,0 -990,0 -933,0 905,0 -778,0 630,0 -167,0 -536,0 459,0 
-348,0 -5,659878750759802 -595,0 -196,0 284,0 144,0 518,0 398,0 50,0 -227,4733722317451 -990,0 -252,0 -221,0 -637,0 -742,0 -536,0 -257,0 959,0 111,0 -196,0 -220,0 -27,0 979,0 -536,0 -257,0 -809,0 641,0 50,0 -897,0 -799,0 -718,0 -899,0 -990,0 -933,0 905,0 -778,0 630,0 -167,0 -536,0 459,0 
-348,0 -5,659878750759802 -595,0 -196,0 284,0 144,0 518,0 398,0 50,0 -227,4733722317451 -990,0 -252,0 -221,0 -637,0 -742,0 -536,0 -257,0 959,0 111,0 -196,0 -220,0 -27,0 979,0 -536,0 -257,0 -809,0 641,0 50,0 -897,0 -799,0 -718,0 -899,0 -990,0 -933,0 905,0 -778,0 630,0 -167,0 -536,0 459,0 
-348,0 -5,659878750759802 -595,0 -196,0 284,0 144,0 518,0 398,0 50,0 -227,4733722317451 -990,0 -252,0 -221,0 -637,0 -742,0 -536,0 -257,0 959,0 111,0 -196,0 -220,0 -27,0 979,0 -536,0 -257,0 -809,0 641,0 50,0 -897,0 -799,0 -718,0 -899,0 -990,0 -933,0 905,0 -778,0 630,0 -167,0 -536,0 459,0 
-348,0 -5,659878750759802 -595,0 -196,0 284,0 144,0 518,0 398,0 50,0 -227,4733722317451 -990,0 -252,0 -221,0 -637,0 -742,0 -536,0 -257,0 959,0 111,0 -196,0 -220,0 -27,0 979,0 -536,0 -257,0 -809,0 641,0 50,0 -897,0 -799,0 -718,0 -899,0 -990,0 -933,0 905,0 -778,0 630,0 -167,0 -536,0 459,0 
